"species","family","rec_gbif"
"Attila citriniventris","Tyrannidae",94
"Turdus sanchezorum","Turdidae",93
"Hoploxypterus cayanus","Charadriidae",92
"Tringa solitaria","Scolopacidae",92
"Galbula dea","Galbulidae",92
"Cymbilaimus lineatus","Thamnophilidae",91
"Gymnopithys leucaspis","Thamnophilidae",91
"Pachyramphus castaneus","Cotingidae",90
"Crypturellus variegatus","Tinamidae",89
"Liosceles thoracicus","Rhinocryptidae",89
"Sporophila bouvronides","Thraupidae",88
"Furnarius leucopus","Furnariidae",88
"Sakesphorus canadensis","Thamnophilidae",87
"Eurypyga helias","Eurypygidae",86
"Icterus cayanensis","Icteridae",86
"Elaenia parvirostris","Tyrannidae",86
"Lophotriccus vitiosus","Tyrannidae",86
"Trogon ramonianus","Trogonidae",86
"Galbula tombacea","Galbulidae",85
"Riparia riparia","Hirundinidae",85
"Sclateria naevia","Thamnophilidae",84
"Progne subis","Hirundinidae",84
"Chaetura cinereiventris","Apodidae",83
"Myrmotherula assimilis","Thamnophilidae",83
"Xiphorhynchus elegans","Furnariidae",83
"Atticora fasciata","Hirundinidae",83
"Geranospiza caerulescens","Accipitridae",82
"Dendrocolaptes picumnus","Furnariidae",82
"Dendrocolaptes certhia","Furnariidae",81
"Trogon curucui","Trogonidae",80
"Synallaxis gujanensis","Furnariidae",80
"Selenidera reinwardtii","Ramphastidae",79
"Egretta caerulea","Ardeidae",79
"Myrmochanes hemileucus","Thamnophilidae",79
"Schistocichla schistacea","Thamnophilidae",78
"Thamnophilus schistaceus","Thamnophilidae",77
"Isleria hauxwelli","Thamnophilidae",77
"Phlegopsis nigromaculata","Thamnophilidae",75
"Ocyalus latirostris","Icteridae",75
"Threnetes leucurus","Trochilidae",75
"Thamnomanes caesius","Thamnophilidae",75
"Tolmomyias flaviventris","Tyrannidae",74
"Amazona ochrocephala","Psittacidae",74
"Nyctibius griseus","Nyctibiidae",74
"Chelidoptera tenebrosa","Bucconidae",74
"Chlorestes notata","Trochilidae",74
"Pulsatrix perspicillata","Strigidae",73
"Chlorostilbon mellisugus","Trochilidae",73
