"scientific","rec_gbif"
"Atherigona orientalis Schiner, 1868",19
"Hermetia Latreille, 1804",19
"Artemita aurata (Macquart, 1846)",19
"Soosiulus regalis Young Jr., 1977",19
"Apocephalus melinus Brown, 2000",19
"Derallus Sharp, 1882",18
"Dohrniphora lamellifera Borgmeier, 1961",18
"Octostruma pexidorsum Longino",18
"Mutillidae",18
"Chiasmodolon gracilis Freytag, 2006",18
"Culicoides",18
"Apocephalus brochus Brown, 2000",18
"Iphitrachelus Haliday, 1836",18
"Megasoma mars (Reiche, 1852)",18
"Cyphomyrmex rimosus (Spinola, 1851)",17
"Megalomyrmex caete Brandao, 1990",17
"Sceliomorpha longicornis Ashmead, 1893",17
"Sceliomorpha Ashmead, 1893",17
"Anartia jatrophae (Linnaeus, 1763)",17
"Paratachys Casey, 1918",17
"Camponotus femoratus (Fabricius, 1804)",17
"Buenoa Kirkaldy, 1904",17
"Noctuidae",17
"Polana desela DeLong, 1979",16
"Odontomachus Latreille, 1804",16
"Brasilocaenis Puthz, 1975",16
"Pseudohypocera kerteszi (Enderlein, 1912)",16
"Fuminana lira (DeLong & Freytag, 1969)",16
"Zyras Stephens, 1833",16
"Metopina Macquart, 1835",16
"Lutzomyia runoides (Fairchild & Hertig, 1953)",16
"Apocephalus asyndetus Brown, 2000",16
"Dohrniphora cootei Brown & Kung, 2007",16
"Soosiulus interpolis Young Jr., 1977",15
"Sphingidae",15
"Odontomachus hastatus (Fabricius, 1804)",15
"Hortensia similis (Walker, 1851)",15
"Acylophorus Nordmann, 1837",15
"Crematogaster brasiliensis Mayr, 1878",15
"Asthenopus Eaton, 1871",15
"Mayaponera Schmidt & Shattuck, 2014",15
"Styletta crocea Borgmeier, 1960",15
"Artemita amenides (Walker, 1849)",15
"Culicidae",15
"Acanthophorides Borgmeier, 1924",14
"Odontomachus bauri Emery, 1892",14
"Tetrataenia surinama (Linnaeus, 1764)",14
"Paraponera clavata (Fabricius, 1775)",14
"Pierella lucia Weymer, 1885",14
"Dohrniphora sulcatula Borgmeier, 1960",14
"Ephuta Say, 1836",14
"Acropyga exsanguis (Wheeler, 1909)",14
"Myriophora inaequalisetarum Hash & Brown, 2015",14
"Copididonus vittulatus (Berg, 1884)",14
"Sylvicanthon Halffter & Martinez, 1977",14
"Hedylidae",14
"Polana celsa DeLong & Freytag, 1972",14
"Aleochara Gravenhorst, 1802",14
"Erythrodiplax fusca Rambur, 1842",14
"Pachycondyla ferruginea (Smith, 1858)",14
"Euvelia Drake, 1957",14
"Apocephalus lyratus Borgmeier, 1971",14
"Synthesiomyia nudiseta (Wulp, 1883)",13
"Calotelea Westwood, 1837",13
"Pentatomidae",13
"Myriophora angustifascia Hash & Brown, 2015",13
"Pheidole jaculifera",13
"Pheidole alticola",13
"Uracis imbuta Burmeister, 1839",13
"Dactylodeictes brevifacies James, 1974",13
"Heterotermes tenuis (Hagen, 1858)",13
"Tettisama bisellata (Signoret, 1862)",12
"Mechanitis polymnia veritabilis Butler, 1873",12
"Neolindus Scheerpeltz, 1933",12
"Arctiidae",12
"Sceliomorpha carinata Kieffer, 1910",12
"Macrothemis Hagen, 1868",12
"Crematogaster limata Smith, 1858",12
"Polana resupina DeLong & Freytag, 1972",12
"Enallagma Charpentier, 1840",12
"Oecetis McLachlan, 1877",12
"Pseudomethoca Ashmead, 1896",12
"Oxysarcodexia amorosa (Schiner, 1868)",12
"Apocephalus roeschardae Brown, 2000",12
"Hemilucilia semidiaphana (Rondani, 1850)",12
"Phanaeus cambeforti Arnaud, 1982",12
"Oxysarcodexia Townsend, 1917",11
"Oethecoctonus Ashmead, 1893",11
"Haetera piera (Linnaeus, 1758)",11
"Erythrodiplax basalis Kirby, 1897",11
"Hydrocanthus Say, 1823",11
"Lutzomyia witoto Young & Morales, 1987",11
"Rogeria scobinata Kugler, 1994",11
"BOLD:ACR7071",11
"Tropisternus Solier, 1834",11
"Trissolcus Ashmead, 1893",11
"Pheidole umphreyi",11
"Pheidole sagax",11
"Martarega White, 1879",11
"Cochliomyia macellaria (Fabricius, 1775)",11
"Paridris aeneus (Ashmead, 1894)",11
"Apocephalus catholicus Brown, 2000",11
"Coproporus Kraatz, 1857",11
"Cosmariomyia Kertesz, 1914",11
"Dohrniphora utriensis Brown & Kung, 2007",11
"Dohrniphora uniplicata Brown & Kung, 2010",11
"Pachycondyla venusta (Forel, 1912)",11
"Dohrniphora selenis Brown & Kung, 2010",11
"Anopheles peryassui Dyar & Knab, 1908",11
"Atta cephalotes (Linnaeus, 1758)",10
"Pachycondyla Smith, 1858",10
"Alluaudomyia Kieffer, 1913",10
"Odontomachus caelatus Brown, 1976",10
"Scarabatermes amazonensis Howden, 1973",10
"Lordithon C.G.Thomson, 1859",10
"Paederomimus Sharp, 1885",10
"Gastrotrypes Brues, 1922",10
"Atta sexdens (Linnaeus, 1758)",10
"Pierella lamia Sulzer, 1776",10
"Myriophora reminatis Hash & Brown, 2015",10
"Pseudomyrmex gracilis (Fabricius, 1804)",10
"Piestus Gravenhorst, 1806",10
"Nylanderia fulva (Mayr, 1862)",10
"Diaphorostylus nasica (Williston, 1888)",10
"Ephuta trifida (Gerstäcker, 1874)",10
"Camponotus mocsaryi Forel, 1902",10
"Lispinus Erichson, 1839",10
"Apterostigma Mayr, 1865",10
"Miathyria marcella Selys, 1857",10
"Sericomyrmex bondari Borgmeier, 1937",10
"Adenophora Borgmeier, 1960",10
"Dohrniphora praedator Borgmeier & Prado, 1975",9
"Hydrotaea chalcogaster (Wiedemann, 1824)",9
"Oxysarcodexia conclausa (Walker, 1861)",9
"Callibaetis Eaton, 1881",9
"Libellulidae",9
"Melaloncha acicula Brown, 2006",9
"Abracris flavolineata (De Geer, 1773)",9
"Selenophorus Dejean, 1829",9
"Lepidoscelio Kieffer, 1905",9
"Pheidole chocoensis",9
"Cyphocephalus Borgmeier, 1967",9
"Dohrniphora anteroventralis Borgmeier, 1960",9
"Tranopelta gilva Mayr, 1866",9
"Soosiulus flammidulus (Jacobi, 1905)",9
"Macropophora trochlearis (Linnaeus, 1758)",9
"Zenithoptera americana Linnaeus, 1758",9
"Hyboptera Chaudoir, 1873",9
"Lodia parapectinata Nielson, 1988",9
"Dolichoderus shattucki MacKay, 1993",9
"Neocapritermes talpoides Araujo & Krishna, 1968",9
"Ontherus pubens Génier, 1996",9
"Philothalpus Kraatz, 1857",9
"Luteobalmus hamatus Freytag, 2006",9
"Philonthus Curtis, 1829",9
"Calliscelio flavicauda Chen & Johnson, 2017",9
"Melaloncha digitalis Borgmeier, 1959",9
"Carabidae",9
"Omura congrua Walker, 1870",9
"Amblyscarta binotata Young Jr., 1977",9
"Odontomachus scalptus Brown, 1978",9
"Soosiulus lunatus Young Jr., 1977",9
"Musca domestica Linnaeus, 1758",9
"Scelionidae",9
"Hymenoptera",9
