"scientific","rec_gbif"
"Rinorea Aubl.",98
"Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez",97
"Iryanthera hostmannii (Benth.) Warb.",95
"Clusiaceae",95
"Cecropia membranacea Trécul",94
"Eschweilera albiflora (DC.) Miers",93
"Guatteria megalophylla Diels",93
"Iryanthera crassifolia A.C.Sm.",92
"Capsicum annuum L.",92
"Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.",91
"Macrolobium Schreb.",91
"Ficus L.",90
"Drymonia coccinea (Aubl.) Wiehler",89
"Pouteria torta (Mart.) Radlk.",88
"Moraceae",88
"Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.",87
"Geonoma maxima (Poit.) Kunth",87
"Xylopia L.",87
"Capsicum frutescens L.",85
"Cordia nodosa Lam.",85
"Iryanthera Warb.",85
"Hevea nitida Mart. ex Müll.Arg.",84
"Clusia spathulaefolia Engl.",84
"Brosimum utile (Kunth) Oken",84
"Pouteria cuspidata (A.DC.) Baehni",84
"Swartzia polyphylla DC.",84
"Lindackeria paludosa (Benth.) Gilg",82
"Myrtaceae",82
"Swartzia Schreb.",82
"Geonoma Willd.",82
"Matisia ochrocalyx Schum.",81
"Rhodognaphalopsis A.Robyns",80
"Mabea Aubl.",80
"Aspidosperma excelsum Benth.",80
"Oxandra xylopioides Diels",79
"Minquartia guianensis Aubl.",79
"Burseraceae",77
"Unonopsis veneficiorum (Mart.) R.E.Fr.",76
"Eschweilera parvifolia Mart. ex DC.",76
"Inga edulis Mart.",76
"Virola surinamensis (Rol.) Warb.",76
"Chrysophyllum sanguinolentum (Pierre) Baehni",76
"Tabebuia insignis (Miq.) Sandwith",75
"Caraipa punctulata Ducke",75
"Saccoloma inaequale (Kunze) Mett.",74
"Piper soledadense Trel.",74
"SH1263627.09FU",74
"Dacryodes Vahl",74
"Matisia lasiocalyx K.Schum.",74
"Bactris simplicifrons Mart.",73
"Octoblepharum albidum Hedwig, 1801",72
"Meliaceae",72
"Capsicum L.",72
"Heliconia L.",71
"Mabea occidentalis Benth.",70
"Brosimum lactescens (Moore) C.C.Berg",70
"Mollia lepidota Spruce ex Benth.",70
"Goupia glabra Aubl.",70
"Eschweilera gigantea (R.Knuth) J.F.Macbr.",70
"Pseudosenefeldera inclinata (Müll.Arg.) Esser",70
"Myrcia DC. ex Guill.",70
"Costus scaber Ruiz & Pav.",70
"Caryocar glabrum (Aubl.) Pers.",70
"Aparisthmium cordatum (A.Juss.) Baill.",69
"Neea Ruiz & Pav.",69
"Besleria aggregata (C.Mart.) Hanst.",69
"Bactris maraja Mart.",69
"Cyathea pungens (Willd.) Domin",69
"Theobroma glaucum Karst.",69
"Pourouma Aubl.",68
"Euphorbiaceae",68
"Renealmia krukovii Maas",68
"Virola loretensis A.C.Sm.",68
"Miconia mayeta (D.Don) Michelang.",67
"Micropholis venulosa (Mart. & Eichler) Pierre",67
"Tovomita Aubl.",67
"Triplaris americana L.",67
"Pachira brevipes (Robyns) Alverson",67
"Oxandra leucodermis (Spruce ex Benth.) Warm.",67
"Ouratea Aubl.",67
"Sterculia L.",67
"Swartzia schomburgkii Benth.",66
"Guatteria Ruiz & Pav.",66
"Guarea macrophylla M.Vahl",65
"Sematophyllum subsimplex Mitten, 1869",65
"Piper dumosum Rudge",65
"Faramea multiflora A.Rich. ex DC.",64
"Micropholis egensis (A.DC.) Pierre",64
"Brosimum rubescens Taub.",64
"Bactris hirta Mart.",63
"Protium hebetatum Daly",63
"Miconia nervosa (Sm.) Triana",63
"Otoba parvifolia (Markgr.) A.H.Gentry",63
"Anthurium Schott",62
"Symphonia globulifera L.fil.",62
"Guarea purusana C.DC.",61
"Couma catingae Ducke",61
"Theobroma cacao L.",61
"Annona L.",60
"Sorocea pubivena subsp. oligotricha (Akkermans & C.C.Berg) C.C.Berg",60
"Casearia javitensis Kunth",60
"Sandwithia heterocalyx Secco",60
"Guarea pterorhachis Harms",60
"Iryanthera polyneura Ducke",60
"Pouteria guianensis Aubl.",60
"Endlicheria Nees",59
"Pouteria caimito (Ruiz & Pav.) Radlk.",59
"Iryanthera elliptica Ducke",59
"Violaceae",59
"Macrolobium acaciifolium (Benth.) Benth.",58
"Herrania nitida (Poepp.) R.E.Schult.",58
"Matisia bracteolosa Ducke",58
"Trichilia P.Browne",58
"Rudgea Salisb.",57
"Clathrotropis nitida (Benth.) Harms",57
"Hirtella racemosa Lam.",57
"Asplenium serratum L.",57
"Swartzia rosea Mart. ex Benth.",57
"Abuta grandifolia (C.Mart.) Sandwith",57
"Iryanthera lancifolia Ducke",56
"Eschweilera alata A.C.Sm.",56
"Euterpe catinga Wallace",56
"Paullinia L.",56
"Heliconia stricta Huber",55
"Protium altsonii Sandwith",55
"Aechmea contracta (Mart. ex Schult. & Schult.f.) Baker",55
"Didymocistus chrysadenius Kuhlm.",55
"Rinorea pubiflora (Benth.) Sprague & Sandwith",55
"Carapa guianensis Aubl.",55
"Leonia racemosa Mart.",55
"Miconia splendens (Sw.) Griseb.",55
"Tachigali paniculata Aubl.",55
"Geonoma camana Trail",55
"Macrolobium angustifolium (Benth.) R.S.Cowan",55
"Leucobryum martianum (Hornsch.) Hampe ex Müll.Hal.",54
"Inga marginata Willd.",54
"Passiflora nitida Kunth",53
"Trichomanes pinnatum Hedw.",53
"Apocynaceae",53
"Mabea nitida Spruce ex Benth.",53
"Philodendron wittianum Engl.",53
"Astrocaryum gynacanthum Mart.",53
"Anaxagorea phaeocarpa Mart.",52
"Sterculia apeibophylla Ducke",52
"Cyclodium meniscioides (Willd.) C.Presl",52
"Sorocea pubivena Hemsl.",52
"Sterculia tessmannii Mildbr.",52
"Apeiba aspera Aubl.",52
"Dialium guianense (Aubl.) Sandwith",52
"Croton cuneatus Klotzsch",52
"Vatairea guianensis Aubl.",52
"Poaceae",52
"Calyptranthes Sw.",52
"Licania apetala (E.Mey.) Fritsch",52
"Peperomia Ruiz & Pav.",51
"Pterocarpus amazonum (Mart. ex Benth.) Amshoff",51
"Lomariopsis japurensis (Mart.) J.Sm.",50
"Paypayrola grandiflora Tul.",50
"Heliconia hirsuta L.f.",50
"Solanum L.",50
"Heisteria acuminata (Humb. & Bonpl.) Engl.",50
"Garcinia macrophylla Mart.",50
"Genipa americana L.",50
"Mouriri Aubl.",50
"Naucleopsis ulei (Warb.) Ducke",49
"Cissus erosa (L.) Rich.",49
"Aspidosperma Mart. & Zucc.",49
"Sorocea muriculata Miq.",49
"Heliconia juruana Loes.",48
"Neea divaricata Poepp. & Endl.",48
"Annona hypoglauca Mart.",48
"Miconia serrulata (DC.) Naudin",48
"Bactris fissifrons Mart.",48
"Unonopsis stipitata Diels",48
"Palicourea macarthurorum C.M.Taylor",48
"Siparuna obstipa J.F.Macbr.",48
"Iryanthera laevis Markgr.",48
"Flacourtiaceae",48
"Schizaea elegans (Vahl) Sw.",47
"Theobroma L.",47
"Chrysochlamys weberbaueri Engl.",47
"Parkia multijuga Benth.",47
"Couma macrocarpa Barb.Rodr.",47
"SH1022386.09FU",47
"Marantaceae",46
"Carpotroche longifolia (Poepp.) Benth.",46
"Brosimum guianense (Aubl.) Huber",46
"Vanilla trigonocarpa Hoehne",46
"Trichomanes hostmannianum (Klotzsch) Kunze",46
"Araceae",46
"Gesneriaceae",46
"Hieronyma alchorneoides Allemão",46
"Heisteria Jacq.",45
"Mauritiella aculeata (Kunth) Burret",45
"Trichomanes elegans Rich.",45
"Renealmia thyrsoidea (Ruiz & Pav.) Poepp. & Endl.",45
"Pseudolmedia laevigata Trécul",45
"Calathea G.Mey.",45
"Parkia panurensis Benth. ex H.C.Hopkins",45
"Bignoniaceae",44
"Tachia occidentalis Maguire & Weaver",44
"Malouetia tamaquarina (Aubl.) A.DC.",44
"Psychotria remota Benth.",44
"Naucleopsis Miq.",44
"Poraqueiba paraensis Ducke",44
"Clidemia D.Don",44
"Inga acrocephala Steud.",44
"Protium opacum Swart",44
"Pourouma minor Benoist",44
"Leonia cymosa C.Mart.",44
"Coussarea brevicaulis K.Krause",44
"Oxandra mediocris Diels",44
"Zygia latifolia (L.) Fawc. & Rendle",44
"Iryanthera macrophylla (Benth.) Warb.",44
"Gloeospermum sphaerocarpum Triana & Planch.",44
"Drymonia pendula (Poepp.) Wiehler",43
"Dacryodes peruviana (Loes.) H.J.Lam",43
"Sclerolobium Vogel",43
"Apeiba membranacea Spruce ex Benth.",43
"Eschweilera andina (Rusby) J.F.Macbr.",43
"Heliconia lasiorachis L.Andersson",43
"Conceveiba martiana Baill.",43
"Compsoneura capitellata (Poepp. ex A.DC.) Warb.",43
"Poraqueiba sericea Tul.",43
"Senefeldera Mart.",43
"Tabernaemontana siphilitica (L.fil.) Leeuwenb.",43
"Faramea quinqueflora Poepp.",42
"Cyperaceae",42
"Brosimum guianense (Aubl.) Huber ex Ducke",42
"Unonopsis guatterioides (A.DC.) R.E.Fr.",42
"Nectandra Rol. ex Rottb.",42
"Anaueria brasiliensis Kosterm.",42
"Monotagma laxum (Poepp. & Endl.) K.Schum.",42
"Gustavia hexapetala (Aubl.) Sm.",42
"Clusia hammeliana Pipoly",42
"Guatteria modesta Diels",42
"Anthurium gracile (Rudge) Schott",42
"Protium paniculatum Engl.",42
"Microgramma reptans (Cav.) A.R.Sm.",41
"Cyathea traillii (Baker) Domin",41
"Tetrastylidium peruvianum Sleumer",41
"Metaxya rostrata (Kunth) C.Presl",41
"Micropterygium leiophyllum Spruce",41
"Licania micrantha Miq.",41
"Maxillaria Ruiz & Pav.",41
"Trichomanes ankersii C.S.Parker ex Hook. & Grev.",41
"Triplaris weigeltiana (Rchb.) Kuntze",41
"Dendropanax Decne. & Planch.",40
"Adiantum tomentosum Klotzsch",40
"Swartzia arborescens (Aubl.) Pittier",40
"Ophiocaryon heterophyllum (Benth.) Urb.",40
"Sapindaceae",40
"Hevea benthamiana Müll.Arg.",40
"Diplotropis martiusii Benth.",40
"Sloanea floribunda Spruce ex Benth.",40
"Discophora guianensis Miers",40
"Cecropia sciadophylla C.Mart.",40
"Qualea ingens Warm.",40
"Mayna odorata Aubl.",40
"Ryania speciosa M.Vahl",40
"Goeppertia lanata (Petersen) Borchs. & S.Suárez",40
"Didymochlaena truncatula (Sw.) J.Sm.",39
"Desmoncus mitis Mart.",39
"Clusia columnaris Engl.",39
"Buchenavia Eichler",39
"Tapura amazonica Poepp. & Endl.",39
"Solanum oppositifolium Ruiz & Pav.",39
"Bactris riparia Mart.",39
"Pourouma cecropiifolia Mart.",39
"Pourouma bicolor C.Mart.",39
"Palicourea Aubl.",39
"Siparuna Aubl.",39
"Heliconia velutina L.Andersson",39
"Aniba Aubl.",39
"Vismia Vand.",39
"Eschweilera juruensis R.Knuth",39
"Miconia carassana Cogn.",39
"Siparuna guianensis Aubl.",38
"Cheilolejeunea rigidula (Nees ex Mont.) R.M.Schust.",38
"Trichilia micrantha Benth.",38
"Drymonia affinis (Mansf.) Wiehler",38
"Calyptrocarya glomerulata (Brongn.) Urb.",38
"Attalea insignis (Mart.) Drude",38
"Clavija weberbaueri Mez",38
"Stylogyne longifolia (C.Mart.) Mez",37
"Monstera obliqua Miq.",37
"Helicostylis scabra (J.F.Macbr.) C.C.Berg",37
"Duroia hirsuta (Poepp.) K.Schum.",37
"Coccoloba densifrons C.Mart. ex Meisn.",37
"Casearia Jacq.",37
"Psychotria limitanea Standl.",37
"Palicourea lasiantha K.Krause",37
"Palicourea guianensis Aubl.",37
"Cynometra marginata Benth.",37
"Salpinga secunda Schrank & Mart. ex DC.",37
"Jacaranda macrocarpa Bureau & K.Schum.",37
"Sorocea A.St.-Hil.",37
"Isertia hypoleuca Benth.",36
"Palicourea stenostachya (Standl.) C.M.Taylor",36
"Astrocaryum murumuru Mart.",36
"Swartzia auriculata Poepp.",36
"Macrolobium multijugum (DC.) Benth.",36
"Eugenia florida DC.",36
"Pterocarpus officinalis Jacq.",36
"Licania macrocarpa Cuatrec.",36
"Bothriospora corymbosa (Benth.) Hook.f.",36
"Ananas comosus (L.) Merr.",36
"Unonopsis R.E.Fr.",36
"Pseudobombax munguba (Mart. & Zucc.) Dugand",36
"Passiflora L.",36
"Ficus paraensis (Miq) Miq.",36
"Pariana Aubl.",36
"Alsophila cuspidata (Kunze) D.S.Conant",36
"Retiniphyllum concolor (Spruce ex Benth.) Müll.Arg.",36
"Maquira coriacea (H.Karst.) C.C.Berg",36
"Begonia rossmanniae A.DC.",36
"Miconia macrosperma (Mart.) Michelang.",36
"Aspidosperma schultesii Woodson",36
"Bocageopsis multiflora (Mart.) R.E.Fr.",36
"Costus L.",36
"Cyclanthus bipartitus Poit. ex A.Rich.",35
"Inga stenoptera Benth.",35
"Tococa Aubl.",35
"Sterculiaceae",35
"Pseudolmedia rigida (Klotzsch & H.Karst.) Cuatrec.",35
"Pourouma tomentosa C.Mart. ex Miq.",35
"Campsiandra comosa Benth.",35
"Maieta guianensis Aubl.",35
"Psychotria peruviana Steyerm.",35
"Naucleopsis krukovii (Standl.) C.C.Berg",35
"Oxandra euneura Diels",35
"Zygia P.Browne",35
"Crossomitrium acuminatum E.B.Bartram, 1953",35
"Evodianthus funifer (Poit.) Lindm.",35
"Palicourea crocea (Sw.) Schult.",35
"Syrrhopodon leprieurii Montagne, 1834",35
"Qualea acuminata Spruce ex Warm.",35
"Nyctaginaceae",35
"Rinorea viridifolia Rusby",35
"Manicaria martiana Burret",35
"Notopleura leucantha (K.Krause) C.M.Taylor",34
"Garcinia madruno (Kunth) Hammel",34
"Anaxagorea brevipes Benth.",34
"Anthurium uleanum Engl.",34
"Swartzia cardiosperma Spruce ex Benth.",34
"Elaeoluma glabrescens (Mart. & Eichler) Aubrév.",34
"Astrocaryum ciliatum F.Kahn & B.Millán",34
"Besleria L.",34
"Bixa orellana L.",34
"Selaginella parkeri (Hook. & Grev.) Spring",34
"Crepidospermum rhoifolium (Benth.) Triana & Planch.",34
"Compsoneura sprucei (A.DC.) Warb.",34
"Pterocarpus Jacq.",34
"Vismia macrophylla Kunth",34
"Chamaedorea pauciflora Mart.",34
"Cyathea macrosora (Baker) Domin",33
"Licania heteromorpha Gleason",33
"Ocotea argyrophylla Ducke",33
"Cecropia ficifolia Warb. ex Snethl.",33
"Guarea glabra Vahl",33
"Otoba glycycarpa (Ducke) W.A.Rodrigues & T.S.Jaram.",33
"Aechmea mertensii (G.Mey.) Schult. & Schult.f.",33
"Talisia Aubl.",33
"Esenbeckia amazonica Kaastra",33
"Cordia L.",33
"Astrocaryum aculeatum G.Mey.",33
"Croton bilocularis J.Murillo",33
"Nectandra amazonum Nees",33
"Palicourea acuminata (Benth.) Borhidi",33
"Zygia inaequalis (Humb. & Bonpl. ex Willd.) Pittier",33
"Bactris Jacq. ex Scop.",33
"SH0970532.09FU",33
"Dichorisandra J.C.Mikan",32
"Roucheria columbiana Hallier fil.",32
"Guarea gomma Pulle",32
"Coussapoa villosa Poepp. & Endl.",32
"Astrocaryum jauari Mart.",32
"Geonoma brongniartii Mart.",32
"Perebea xanthochyma H.Karst.",32
"Marcgravia L.",32
"Oenocarpus minor Mart.",32
"Coussarea Aubl.",32
"Mollia Mart. & Zucc.",32
"Monimiaceae",32
"Simarouba amara Aubl.",32
"Pausandra trianae (Müll.Arg.) Baill.",32
"Ischnosiphon arouma (Aubl.) Körn.",32
"Peperomia serpens (Sw.) Loudon",32
"SH1256502.09FU",32
"Trymatococcus amazonicus Poepp. & Endl.",32
"Moronobea coccinea Aubl.",31
"Siparuna sessiliflora (Kunth) A.DC.",31
"Urospatha sagittifolia (Rudge) Schott",31
"Sommera sabiceoides K.Schum.",31
"Caraipa grandifolia Mart.",31
"Salacia L.",31
"Palicourea tomentosa (Aubl.) Borhidi",31
"Macoubea guianensis Aubl.",31
"Anthurium clavigerum Poepp.",31
"Ocotea bofo Kunth",31
"Croton L.",31
"Aechmea nidularioides L.B.Sm.",31
"Pseudomonotes tropenbosii Londoño, Alvarez, Forero & Morton",31
"Duguetia A.St.-Hil.",31
"Combretaceae",31
"Salacia gigantea Loes.",30
"Virola marlenei W.A.Rodrigues",30
"Hymenopus heteromorphus (Benth.) Sothers & Prance",30
"Epistephium parviflorum Lindl.",30
"Calycophyllum obovatum (Ducke) Ducke",30
"Clusia spathulifolia Engl.",30
"Rudgea bacciflora Müll.Arg.",30
"Perebea guianensis Aubl.",30
"Jablonskia congesta (Benth. ex Müll.Arg.) G.L.Webster",30
"Inga pilosula (Rich.) J.F.Macbr.",30
"Selaginella exaltata (Kunze) Spring",30
"Couratari oligantha A.C.Sm.",30
"Senna reticulata (Willd.) H.S.Irwin & Barneby",30
"SH0919206.09FU",30
"Licania lata J.F.Macbr.",30
"Inga cinnamomea Spruce ex Benth.",30
"Piperaceae",30
"Guatteria decurrens R.E.Fr.",30
"Graffenrieda patens Triana",30
"Plinia Plum. ex L.",30
"Duguetia spixiana Mart.",30
"Protium subserratum (Engl.) Engl.",30
"Mabea speciosa Müll.Arg.",30
"Protium apiculatum Swart",30
"Machaerium Pers.",30
"Curarea toxicofera (Wedd.) Barneby & Krukoff",29
"Stenospermation amomifolium (Poepp.) Schott",29
"Malpighiaceae",29
"Myrsinaceae",29
"Henriettea stellaris Berg ex Triana",29
"Matisia malacocalyx (Robyns & Nilsson) W.S.Alverson",29
"Astrocaryum chambira Burret",29
"Astrocaryum G.Mey.",29
"Casearia pitumba Sleumer",29
"Passiflora vitifolia Kunth",29
"Taxithelium planum Mitten, 1869",29
"Heliconia chartacea Lane ex Barreiros",29
"Rinorea macrocarpa (C.Mart. ex Eichler) Kuntze",29
"Protium gallosum Daly",29
"Heteropsis oblongifolia Kunth",29
"Gurania (Schltdl.) Cogn.",29
"Bauhinia Plum. ex L.",29
"Octoblepharum pulvinatum Mitten, 1869",29
"Lacistema aggregatum (P.J.Bergius) Rusby",29
"Costus lasius Loes.",29
"Anthurium loretense Croat",29
"Danaea nodosa (L.) Sm.",29
"Dendropanax arboreus (L.) Decne. & Planch.",29
"Humiriaceae",29
"Xylopia cuspidata Diels",29
"Desmoncus polyacanthos Mart.",29
"Carapichea affinis (Standl.) L.Andersson",29
"Inga pruriens Poepp.",28
"Dilkea acuminata Mast.",28
"Tachigali rusbyi Harms",28
"Mezilaurus itauba (Meisn.) Taub. ex Mez",28
"Theobroma bicolor Humb. & Bonpl.",28
"Croton palanostigma Klotzsch",28
"Piper anonifolium (Kunth) Steud.",28
"Eschweilera parviflora (Aubl.) Miers",28
"Palicourea nigricans K.Krause",28
"Miconia bullifera (Mart. & Schrank ex DC.) Michelang.",28
"Theobroma microcarpum Mart.",28
"Casearia uleana Sleumer",28
"Hippocrateaceae",28
"Faramea Aubl.",28
"Alchornea triplinervia (Spreng.) Müll.Arg.",28
"Tococa guianensis Aubl.",28
"Tachigali formicarum Harms",28
"Drymonia anisophylla L.E.Skog & L.P.Kvist",28
"Pourouma ferruginea Standl.",28
"Drypetes amazonica Steyerm.",28
"Mollia gracilis Spruce ex Benth.",28
"Guarea trunciflora C.DC.",28
"Couepia guianensis Aubl.",27
"Inga auristellae Harms",27
"Hevea Aubl.",27
"Pouteria campanulata Baehni",27
"Aphelandra aurantiaca (Scheidw.) Lindl.",27
"Maripa peruviana Ooststr.",27
"Manilkara bidentata (A.DC.) A.Chev.",27
"Bactris corossilla H.Karst.",27
"Protium trifoliolatum Engl.",27
"Bactris killipii Burret",27
"Tococa caquetana Sprague",27
"Eriotheca macrophylla (K.Schum.) A.Robyns",27
"Naucleopsis caloneura (Huber) Ducke",27
"Bisboeckelera irrigua (Nees) Kuntze",27
"Protium nitidifolium (Cuatrec.) Daly",27
"Ficus pertusa L.fil.",27
"Brownea grandiceps Jacq.",27
"Lejeuneaceae",27
"Guatteria puncticulata R.E.Fr.",27
"Leandra Raddi",27
"Swartzia racemosa Benth.",27
"Lacmellea foxii (Stapf) Markgr.",27
"Inga nobilis Willd.",27
"Satyria panurensis (Benth. ex Meisn.) Hook.f. ex Nied.",27
"Erisma calcaratum (Link) Warming",27
"Mauritiella armata (Mart.) Burret",27
"Hirtella guainiae Spruce ex Hook.fil.",27
"Richeria grandis Vahl",27
"Goeppertia micans (L.Mathieu) Borchs. & S.Suárez",27
"Rudgea loretensis Standl.",26
"Cybianthus Mart.",26
"Casearia ulmifolia M.Vahl ex Vent.",26
"Miconia caquetana (Sprague) Michelang.",26
"Fusaea longifolia (Aubl.) Saff.",26
"Sapium marmieri Huber",26
"Mauritia carana Wallace",26
"Swartzia pendula Spruce ex Benth.",26
"Duguetia macrophylla R.E.Fr.",26
"Epidendrum longicolle Lindl.",26
"Chrysochlamys Poepp. & Endl.",26
"Renealmia alpinia (Rottb.) Maas",26
"Attalea butyracea (Mutis ex L.f.) Wess.Boer",26
"Allantoma decandra (Ducke) S.A.Mori, Ya Y.Huang & Prance",26
"Miconia tomentosa (Rich.) D.Don ex DC.",26
"Pithecellobium Mart.",26
"Heisteria insculpta Sleumer",26
"Diclinanona tessmannii Diels",26
"Vochysia Aubl.",26
"Microgramma megalophylla (Desv.) de la Sota",26
"Crepidospermum prancei Daly",26
"Anacardium occidentale L.",26
"Annona dolichophylla R.E.Fr.",26
"Bocageopsis canescens (Spruce ex Benth.) R.E.Fr.",26
"Dichorisandra ulei J.F.Macbr.",26
"Columnea ericae Mansf.",26
"Clidemia dimorphica J.F.Macbr.",26
"Trichilia septentrionalis C.DC.",26
"Quiina amazonica A.C.Sm.",26
"Calophyllum L.",26
"Nautilocalyx Linden",26
"Ficus insipida Willd.",26
"Triolena amazonica (Pilg.) Wurdack",26
"Piper brasiliense (Miq.) C.DC.",25
"Elaeocarpaceae",25
"Naucleopsis glabra Spruce ex Pittier",25
"Pteridophyta",25
"Apeiba Aubl.",25
"Dulacia candida (Poepp.) Kuntze",25
"Rosenbergiodendron longiflorum (Ruiz & Pav.) Fagerl.",25
"Guapira Aubl.",25
"Theobroma grandiflorum (Willd. ex Spreng.) Schum.",25
"Erythroxylum macrophyllum Cav.",25
"Palicourea subspicata Huber",25
"Maquira guianensis Aubl.",25
"Solanaceae",25
"Ixora panurensis Müll.Arg.",25
"Palicourea corymbifera (Müll.Arg.) Standl.",25
"Matisia Humb. & Bonpl.",25
"Alchornea grandiflora Müll.Arg.",25
"Clusia amazonica Planch. & Triana",25
"Asplundia xiphophylla Harling",25
"Clidemia hirta (L.) D.Don",25
"Anthurium pentaphyllum (Aubl.) G.Don",25
"Maquira calophylla (Poepp. & Endl.) C.C.Berg",25
"Licania harlingii Prance",25
"Deguelia scandens Aubl.",25
"Asplenium hallii Hook.",25
"Pachira insignis (Sw.) Savigny",24
"Metaxya lanosa A.R.Sm. & Tuomisto",24
"Duguetia quitarensis Benth.",24
"Perebea angustifolia (Poepp. & Endl.) C.C.Berg",24
"Clathrotropis (Benth.) Harms",24
"Tabernaemontana sananho Ruiz & Pav.",24
"Mouriri grandiflora DC.",24
"Couepia Aubl.",24
"Alchornea latifolia Sw.",24
"Miconia trinervia (Sw.) D.Don ex Loudon",24
"Bertiera guianensis Aubl.",24
"Pepinia sprucei (Baker) G.S.Varad. & Gilmartin",24
"Renealmia L.f.",24
"Lonchocarpus nicou (Aubl.) DC.",24
"Guatteria guianensis (Aubl.) R.E.Fr.",24
"Swartzia flavescens Suess.",24
"Palicourea triadica (Müll.Arg.) C.M.Taylor",24
"Helosis cayennensis (Sw.) Spreng.",24
"Piper demeraranum (Miq.) C.DC.",24
"Pseudoxandra leiophylla (Diels) R.E.Fr.",24
"Anthurium oxycarpum Poepp.",24
"Trichosteleum papillosum Jaeger, 1878",24
"Pourouma bicolor subsp. bicolor",24
"Oenocarpus mapora H.Karst.",24
"Trichilia pallida Sw.",24
"Notopleura parasiggersiana C.M.Taylor",24
"Eugenia patrisii Vahl",24
"Calymperes lonchophyllum Schwaegrichen, 1816",24
"Heliconia tenebrosa J.F.Macbr.",24
"Combretum llewelynii J.F.Macbr.",24
"Protium unifoliolatum Engl.",24
"Dioscorea trifida L.f.",24
"Pourouma ovata Trécul",24
"Inga punctata Willd.",24
"Sterigmapetalum obovatum Kuhlm.",24
"Guarea pubescens (Rich.) A.Juss.",24
"Cuphea melvilla Lindl.",24
"Podocalyx loranthoides Klotzsch",24
"Annona cuspidata (Mart.) H.Rainer",24
"Diospyros L.",24
"Aciotis purpurascens (Aubl.) Triana",24
"Stylogyne laxiflora (Benth.) Mez",24
"Anacardiaceae",23
"Sterculia frondosa Rich.",23
"Dulacia macrophylla (Benth.) Kuntze",23
"Polybotrya caudata Kunze",23
