"scientific","rec_gbif"
"Rhinella ceratophrys (Boulenger, 1882)",1
"Rhinella dapsilis (Myers & Carvalho, 1945)",1
"Vanzolinius discodactylus (Boulenger, 1884)",1
"Amphibia",1
"Scinax acuminata (Cope, 1862)",1
"Scinax boulengeri (Cope, 1887)",1
"Scinax rubra (Laurenti, 1768)",1
"Spea intermontana (Cope, 1883)",1
"Eleutherodactylus cornutus (Jiménez de la Espada, 1870)",1
"Allobates trilineatus (Boulenger, 1884)",1
"Allobates marchesianus (Melin, 1941)",1
"Strabomantis cornutus (Jiménez de la Espada, 1870)",1
